School Indicators4.0,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Number of Districts3 .C6overed,15,16,16,16,16,16,16,16,20,20
"Total Schools9.3",3070,4547,4583,4642,4441,4343,4413,3855,3903,4012
Total Government Schools,-,4331,4328,4341,4100,3950,4004,3398,3382,3464
Total Private Schools,-,216,255,300,339,392,406,451,502,518
Ratio of Primary to U.PrimarySch./S9.e3c.,4.0,5.2,4.2,3.9,3.6,3.3,3.0,2.5,2.4,2.4
Primary Sch./Sec.per 1000 Child Popln.,24,39,14,43,44,40,41,21,22,22
U.Prim. Sch./Sec.per 1000 Child Popln.,9,11,41,15,16,17,19,17,19,21
"% Single-Teacher Schools with Enr.≥15",34.7,25.2,29.2,27.7,26.6,23.6,21.2,20.3,15.7,15.8
"% Enrolment in Single-Teacher Schools",17.4,14.3,15.0,14.0,13.1,12.8,11.4,9.7,8.2,8.7
"% Schools with Enrolm5e.2nt ≤ 50",58.9,66.1,64.1,64.0,60.6,59.2,59.9,53.8,53.4,54.1
"% Schools with Fema4le.7 Teachers",79.4,83.8,83.7,83.6,82.9,84.2,85.6,100.0,72.8,74.9
