School Indicato3rs.3,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Number of Distric2t.9s Covered,16,16,16,16,16,16,27,27,27,27
"Total Schools6.9",51347,49708,49907,50908,51423,52822,53766,53359,53299,50705
Total Government Schools,-,45578,45804,46172,46394,47186,47822,47468,47264,44387
Total Private Schools,-,3954,4060,4642,4945,5504,5788,5650,5839,6100
Ratio of Primary to U.Primar7y.S0ch./Sec.,2.5,2.2,2.4,2.2,2.2,2.2,2.2,2.2,2.2,2.1
Primary Sch./Sec.per 1000 Child Popln.,15,14,10,15,15,15,15,14,14,13
U.Prim. Sch./Sec.per 1000 Child Popln.,10,11,14,11,11,11,12,11,11,11
"% Single-Teacher Schools with Enr.≥15",8.4,13.6,10.9,10.0,6.8,5.0,7.3,6.4,5.7,4.0
"% Enrolment in Single-Teacher Schools",5.0,8.9,6.4,6.3,4.0,3.0,3.6,3.9,2.7,2.2
"% Schools with En3.r5olment ≤ 50",35.0,37.4,36.2,37.4,36.7,37.3,39.4,41.0,42.2,41.2
"% Schools with F3e.m1 ale Teachers",62.9,65.5,66.5,67.9,67.2,67.7,68.0,69.0,66.1,65.8
