School Indicator4s.1,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Number of Distr3ic.2ts Covered,12,12,12,12,12,12,12,12,12,12
Total Schools10.2,16013,17197,17360,17408,17439,17388,17547,17720,17956,18024
Total Government Schools,-,14968,15071,15091,15126,15001,15111,15219,15355,15386
Total Private Schools,-,2224,2289,2317,2313,2384,2434,2497,2599,2637
Ratio of Primary to U.PrimarySch1.0/S.5ec.,2.6,2.3,2.2,2.2,2.2,2.1,2.1,2.1,2.0,2.0
Primary Sch./Sec.per 1000 Child Popln.,20,22,16,23,23,23,23,22,23,23
U.Prim. Sch./Sec.per 1000 Child Popln.,13,15,23,17,17,17,18,18,18,19
"% Single-Teacher Schools with Enr.≥15",7.9,5.5,7.4,4.3,3.6,3.1,4.2,4.4,3.3,4.6
"% Enrolment in Single-Teacher Schools",4.7,3.0,4.3,2.5,2.1,2.0,2.5,2.8,2.2,3.0
"% Schools with E3n.8rolment ≤ 50",51.9,55.8,57.5,59.7,61.1,63.4,63.8,68.0,69.9,71.2
"% Schools with 3F.1emale Teachers",71.3,72.4,73.1,71.9,71.3,71.4,74.3,100.0,72.1,73.4
