Enrolment Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,
Enrolment: Classes I-V,4494753,5464268,5166716,4939161,5017173,4753088,4653133,4582759,4463367,4453527,
Enrolment: Classes VI-VIII,812381,1255404,1436228,1584772,1823571,1907171,1965317,2042264,2077422,2068541,
"Enrolment: Classes I-V, Government",-,5048602,4762670,4437680,4172351,3892148,3647149,3528498,3348595,3273922,
"Enrolment:Classes VI-VIII,8G0o.3vernment",-,1070996,1239852,1319844,1419978,1476527,1497416,1493054,1479273,1455103,
"Enrolment: Classe3s9 .I9-V, Private",-,363664,354968,501481,574640,535594,610035,539604,525393,544318,
"Enrolment: Classes VI-VIII, Private",-,172386,182643,264928,312311,313054,349911,361248,377241,385493,
"% Girls Enrolment: Primary8 L4e.3vel",47.5,49.0,49.3,49.5,49.2,49.0,49.1,49.0,49.0,48.9,
"% Girls Enrolment4: 1U.8.Primary Level",44.1,46.4,47.3,48.8,49.1,49.8,50.0,50.0,50.0,50.2,
Ratio of Girls Enr.to Boys: Primary,0.90,0.96,0.97,0.98,0.97,0.96,0.96,0.96,0.96,0.96,
Ratio of Girls Enr.to Boys: U.Primary,0.79,0.87,0.90,0.95,0.96,0.99,1.00,1.00,1.00,1.01,
"% SC Enrolment: Classes I-VIII",14.3,15.0,14.8,14.9,14.4,14.7,14.8,14.7,14.8,14.8,
"% ST Enrolment: Classes7  3I.-0VIII",32.7,30.5,30.7,29.8,29.2,29.0,28.9,28.5,28.4,28.3,
"% OBC Enrolment: Primary Level",42.3,44.3,45.4,44.2,45.3,45.8,44.4,44.5,44.7,44.9,
"% OBC Enrolment:U.Primary Level",46.6,47.4,48.7,47.5,48.5,50.1,49.0,49.1,49.2,49.3,
"% Muslim Enrolment: Prim73a.r9y Level",-,10.3,10.7,13.3,13.6,14.5,13.8,13.0,12.8,12.5,
"% Muslim Enrolment: U. 7P1r.i7mary Level",-,9.0,9.9,11.8,12.8,13.7,13.7,12.8,12.8,12.2,
Ratio of Grade V to I,39,52,58,62,74,77,84,84,89,87,
Avg. Repetition Rate: Primary Level,5.8,9.7,8.8,6.5,8.9,5.6,3.5,2.8,2.2,1.4,
Avg.Repetition Rate: U.Primary Level,-,3.5,2.8,1.7,2.6,1.6,1.1,1.2,0.7,0.6,
Avg. Drop-out Rate: Prima73ry.7 Level,17.0,12.8,15.1,15.8,10.5,12.6,1527.3.5,7.2,6.4,5.5,
Retention Rate: Primary Level,-,77.8,71.4,53.1,47.7,51.5,60.2,65.1,69.3,75.2,
Transition Rate: Primary to U.Primary,-,77.0,71.2,74.2,79.2,76.0,78.7,80.2,82.8,84.2,
