"",2005-06,2007-08,2008-09,2009-10,2010-11,20112-0112,210312-13,2013-14,2014-15,2015-16,
Student-Classroom Ratio,35,30,30,30,27,27,27,27,26,25,
"% Schools with Drinking Water",82.8,85.6,83.3,89.1,88.7,9240.14,1494.8,96.8,98.0,99.5,
"% Schools with Common Toilet",32.5,50.9,57.2,80.8,-,-,-,-,-,-,
"% Schools with Boys' Toilet",-,-,-,14.7,17.5,76.7,21.1x,95.3x,95.3x,93.8,
"% Schools with Girls' Toilet",12.4,28.0,34.0,37.9,38.2,4210.11,15 68.5x,68.9x,76.8x,97.1,
"% Schools with Boundarywall",65.3,59.6,59.1,57.6,58.8,62.4,64.9,65.8,67.5,68.2,
"% School with Playground Facility",-,-,-,23.7,29.3,2290.17,1629.7,29.7,29.6,30.3,
"% Schools with Ramp",8.1,17.9,23.6,36.2,38.1,46.2,82.3**,84.0**,77.4**,85.9**,
"% Schools havining Electricity",-,-,18.6,15.8,20.4,21.8,23.9,26.0,29.6,32.1,
"% Schools with Computer",11.4,8.0,7.5,7.3,8.5,9.0,9.2,10.6,13.6,14.4,
