School Indicators3.7,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Number of Distric2t.9s Covered,13,13,13,13,13,13,13,13,13,13
"Total Schools6.6",18907,20610,21583,22127,22720,23207,23338,23425,23665,23660
Total Government Schools,-,16971,17286,17327,17344,17500,17460,17426,17505,17505
Total Private Schools,-,3639,4295,4800,5024,5326,5600,5716,5817,5787
Ratio of Primary to U.Primar6y.8Sch./Sec.,2.9,2.7,2.5,2.4,2.4,2.3,2.3,2.3,2.2,2.2
Primary Sch./Sec.per 1000 Child Popln.,14,16,11,17,17,17,18,16,16,16
U.Prim. Sch./Sec.per 1000 Child Popln.,8,10,16,12,12,13,13,11,12,12
"% Single-Teacher Schools with Enr.≥15",14.7,12.0,12.3,9.5,10.9,12.2,8.1,4.6,4.4,3.3
"% Enrolment in Single-Teacher Schools",9.5,7.8,7.3,5.9,6.3,7.0,4.7,3.5,3.6,2.9
"% Schools with En3ro.9lment ≤ 50",51.2,51.9,52.9,55.5,57.4,59.1,59.3,61.5,62.6,63.6
"% Schools with F2e.9male Teachers",71.6,72.5,74.3,74.2,75.7,77.1,77.4,100.0,75.0,76.2
